4.156.21.72 - - [15/Jul/2024:00:14:56 +0900] "GET /actuator/health HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:16:27 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14603
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:16:30 +0900] "GET /recruit-app/user/signupPage.do HTTP/1.1" 200 22174
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:16:30 +0900] "GET /recruit-app/assets/css/signup.css HTTP/1.1" 200 26787
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:16:50 +0900] "GET /recruit-app/user/checkDuplId.do?userId=ddd%40gmail.com HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:19:30 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 65505
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:19:32 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14603
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:19:34 +0900] "GET /recruit-app/user/signupPage.do HTTP/1.1" 200 22174
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:19:41 +0900] "GET /recruit-app/user/checkDuplId.do?userId=ddd%40naver.com HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:20:17 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 65505
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:20:19 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14603
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:20:36 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14603
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:20:37 +0900] "GET /recruit-app/user/signupPage.do HTTP/1.1" 200 22174
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:20:45 +0900] "GET /recruit-app/user/checkDuplId.do?userId=ddd%40naver.com HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:21:32 +0900] "POST /recruit-app/user/nextSignup.do HTTP/1.1" 200 18729
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:22:08 +0900] "POST /recruit-app/user/addUser.do HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:22:10 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14603
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:22:21 +0900] "POST /recruit-app/user/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:22:22 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 65154
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:22:28 +0900] "GET /recruit-app/user/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:22:28 +0900] "GET /recruit-app/main/mainPage.do?jwtSignup=eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJkZGRAbmF2ZXIuY29tIiwidXNlckRhdGEiOnsidXNlcklkIjoiZGRkQG5hdmVyLmNvbSIsIm5hbWUiOiLsnbTrqoXtmZQiLCJwaG9uZSI6IjAxMDIyMjI0NDQ0IiwidGVsIjoiMDIzMzMzNDQ0NCIsInBhc3N3b3JkIjoiUWZsYWxkMTIzNCEifSwiZXhwIjoxNzIwOTcxMDkyfQ.k1b8RIDP5wbYmDE_eC6cKmQXyQ_ZiF5jo_ezdiIdI6U&name=%EC%9D%B4%EB%AA%85%ED%99%94&userId=ddd%40naver.com HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:22:28 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 65505
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:27:05 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14603
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:27:12 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 65505
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:27:16 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14603
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:27:17 +0900] "GET /recruit-app/user/signupPage.do HTTP/1.1" 200 22174
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:27:27 +0900] "GET /recruit-app/user/checkDuplId.do?userId=dddd%40gmail.com HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:28:03 +0900] "POST /recruit-app/user/nextSignup.do HTTP/1.1" 200 18729
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:28:23 +0900] "POST /recruit-app/user/addUser.do HTTP/1.1" 200 587
